INFO  - 2015-04-20 18:46:32.234; org.apache.solr.core.RequestHandlers; created /admin/plugins: org.apache.solr.handler.admin.PluginInfoHandler
INFO  - 2015-04-20 18:46:32.234; org.apache.solr.core.RequestHandlers; created /admin/threads: org.apache.solr.handler.admin.ThreadDumpHandler
INFO  - 2015-04-20 18:46:32.235; org.apache.solr.core.RequestHandlers; created /admin/properties: org.apache.solr.handler.admin.PropertiesRequestHandler
INFO  - 2015-04-20 18:46:32.235; org.apache.solr.core.RequestHandlers; created /admin/logging: org.apache.solr.handler.admin.LoggingHandler
INFO  - 2015-04-20 18:46:32.236; org.apache.solr.core.RequestHandlers; created /admin/file: org.apache.solr.handler.admin.ShowFileRequestHandler
INFO  - 2015-04-20 18:46:32.236; org.apache.solr.core.RequestHandlers; created /admin/ping: org.apache.solr.handler.PingRequestHandler
INFO  - 2015-04-20 18:46:32.237; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-04-20 18:46:32.238; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-04-20 18:46:32.238; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-04-20 18:46:32.238; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-04-20 18:46:32.238; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-04-20 18:46:32.238; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-04-20 18:46:32.239; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-04-20 18:46:32.239; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-04-20 18:46:32.240; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-04-20 18:46:32.240; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-04-20 18:46:32.256; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-04-20 18:46:32.258; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-04-20 18:46:32.258; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-04-20 18:46:32.259; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-04-20 18:46:32.261; org.apache.solr.core.SolrCore; Using default statsCache cache: org.apache.solr.search.stats.LocalStatsCache
INFO  - 2015-04-20 18:46:32.276; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-04-20 18:46:32.277; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-04-20 18:46:32.283; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@4eab53b3; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-04-20 18:46:32.284; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-04-20 18:46:32.292; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@6cc1cfa[basic] main
INFO  - 2015-04-20 18:46:32.296; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf
INFO  - 2015-04-20 18:46:32.296; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf}
INFO  - 2015-04-20 18:46:32.303; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf
INFO  - 2015-04-20 18:46:32.306; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/jeff/Documents/workspace/dupcustomer/solr/server/solr/basic/conf
INFO  - 2015-04-20 18:46:32.306; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-04-20 18:46:32.306; org.apache.solr.rest.RestManager; Initializing 0 registered ManagedResources
INFO  - 2015-04-20 18:46:32.311; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
